archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.0;354.9600;10.0003
MDG-a_10_100_m10;0.05;355.5000;10.0002
MDG-a_10_100_m10;0.1;355.5000;10.0023
MDG-a_10_100_m10;0.15;355.5000;10.0003
MDG-a_10_100_m10;0.2;355.5000;10.0003
MDG-a_10_100_m10;0.25;355.5000;10.0002
MDG-a_10_100_m10;0.3;355.5000;10.0003
MDG-a_10_100_m10;0.35;355.5000;10.0003
MDG-a_10_100_m10;0.4;355.5000;10.0002
MDG-a_10_100_m10;0.45;355.5000;10.0013
MDG-a_10_100_m10;0.5;355.5000;10.0008
MDG-a_10_100_m10;0.55;355.5000;10.0003
MDG-a_10_100_m10;0.6;355.5000;10.0003
MDG-a_10_100_m10;0.65;355.5000;10.0022
MDG-a_10_100_m10;0.7;355.5000;10.0013
MDG-a_10_100_m10;0.75;355.5000;10.0023
MDG-a_10_100_m10;0.8;355.5000;10.0013
MDG-a_10_100_m10;0.85;355.5000;10.0003
MDG-a_10_100_m10;0.9;355.5000;10.0092
MDG-a_10_100_m10;0.95;355.5000;10.0003
MDG-a_10_100_m10;1.0;355.5000;10.0018
MDG-a_12_100_m10;0.0;354.2500;10.0003
MDG-a_12_100_m10;0.05;354.2500;10.0012
MDG-a_12_100_m10;0.1;354.2500;10.0013
MDG-a_12_100_m10;0.15;354.2500;10.0003
MDG-a_12_100_m10;0.2;354.2500;10.0003
MDG-a_12_100_m10;0.25;354.2500;10.0013
MDG-a_12_100_m10;0.3;354.2500;10.0003
MDG-a_12_100_m10;0.35;354.2500;10.0013
MDG-a_12_100_m10;0.4;354.2500;10.0003
MDG-a_12_100_m10;0.45;354.2500;10.0012
MDG-a_12_100_m10;0.5;354.2500;10.0013
MDG-a_12_100_m10;0.55;354.2500;10.0003
MDG-a_12_100_m10;0.6;354.2500;10.0002
MDG-a_12_100_m10;0.65;354.2500;10.0003
MDG-a_12_100_m10;0.7;354.2500;10.0023
MDG-a_12_100_m10;0.75;354.2500;10.0003
MDG-a_12_100_m10;0.8;354.2500;10.0013
MDG-a_12_100_m10;0.85;354.2500;10.0013
MDG-a_12_100_m10;0.9;354.2500;10.0013
MDG-a_12_100_m10;0.95;354.2500;10.0003
MDG-a_12_100_m10;1.0;354.2500;10.0013
MDG-a_13_n500_m50;0.0;7763.8900;10.0422
MDG-a_13_n500_m50;0.05;7754.6200;10.0262
MDG-a_13_n500_m50;0.1;7761.1400;10.0621
MDG-a_13_n500_m50;0.15;7718.8300;10.0452
MDG-a_13_n500_m50;0.2;7744.1300;10.0352
MDG-a_13_n500_m50;0.25;7737.2300;10.0561
MDG-a_13_n500_m50;0.3;7727.3500;10.0083
MDG-a_13_n500_m50;0.35;7724.2500;10.1080
MDG-a_13_n500_m50;0.4;7695.1300;10.1191
MDG-a_13_n500_m50;0.45;7729.0800;10.1848
MDG-a_13_n500_m50;0.5;7780.2200;10.0731
MDG-a_13_n500_m50;0.55;7715.8400;10.1439
MDG-a_13_n500_m50;0.6;7704.9200;10.0676
MDG-a_13_n500_m50;0.65;7707.8300;10.1319
MDG-a_13_n500_m50;0.7;7717.3700;10.0372
MDG-a_13_n500_m50;0.75;7729.9900;10.0182
MDG-a_13_n500_m50;0.8;7753.9700;10.1309
MDG-a_13_n500_m50;0.85;7727.0600;10.1220
MDG-a_13_n500_m50;0.9;7701.9900;10.1000
MDG-a_13_n500_m50;0.95;7705.2000;10.0123
MDG-a_13_n500_m50;1.0;7700.3300;10.1319
MDG-a_14_100_m10;0.0;354.1700;10.0002
MDG-a_14_100_m10;0.05;356.0600;10.0003
MDG-a_14_100_m10;0.1;356.0600;10.0012
MDG-a_14_100_m10;0.15;356.0600;10.0003
MDG-a_14_100_m10;0.2;356.0600;10.0003
MDG-a_14_100_m10;0.25;356.0600;10.0003
MDG-a_14_100_m10;0.3;356.0600;10.0012
MDG-a_14_100_m10;0.35;356.0600;10.0003
MDG-a_14_100_m10;0.4;356.0600;10.0016
MDG-a_14_100_m10;0.45;356.0600;10.0003
MDG-a_14_100_m10;0.5;356.0600;10.0014
MDG-a_14_100_m10;0.55;356.0600;10.0013
MDG-a_14_100_m10;0.6;356.0600;10.0012
MDG-a_14_100_m10;0.65;356.0600;10.0042
MDG-a_14_100_m10;0.7;356.0600;10.0003
MDG-a_14_100_m10;0.75;356.0600;10.0003
MDG-a_14_100_m10;0.8;356.0600;10.0002
MDG-a_14_100_m10;0.85;356.0600;10.0013
MDG-a_14_100_m10;0.9;356.0600;10.0024
MDG-a_14_100_m10;0.95;356.0600;10.0013
MDG-a_14_100_m10;1.0;356.0600;10.0013
MDG-a_16_n500_m50;0.0;7783.6400;10.0102
MDG-a_16_n500_m50;0.05;7747.5800;10.0332
MDG-a_16_n500_m50;0.1;7743.5200;10.0262
MDG-a_16_n500_m50;0.15;7730.4700;10.0238
MDG-a_16_n500_m50;0.2;7700.5600;10.0072
MDG-a_16_n500_m50;0.25;7715.8100;10.0302
MDG-a_16_n500_m50;0.3;7716.6400;10.0861
MDG-a_16_n500_m50;0.35;7713.5900;10.0252
MDG-a_16_n500_m50;0.4;7706.3500;10.0742
MDG-a_16_n500_m50;0.45;7752.1700;10.1209
MDG-a_16_n500_m50;0.5;7706.8000;10.0332
MDG-a_16_n500_m50;0.55;7709.2800;10.0232
MDG-a_16_n500_m50;0.6;7699.9900;10.0711
MDG-a_16_n500_m50;0.65;7737.4900;10.0591
MDG-a_16_n500_m50;0.7;7700.7600;10.2306
MDG-a_16_n500_m50;0.75;7727.9100;10.0691
MDG-a_16_n500_m50;0.8;7672.2300;10.0362
MDG-a_16_n500_m50;0.85;7770.6800;10.0392
MDG-a_16_n500_m50;0.9;7723.0000;10.1977
MDG-a_16_n500_m50;0.95;7726.0900;10.1499
MDG-a_16_n500_m50;1.0;7713.6500;10.0451
MDG-a_17_n500_m50;0.0;7738.9200;10.0172
MDG-a_17_n500_m50;0.05;7731.8100;10.0311
MDG-a_17_n500_m50;0.1;7716.1900;10.0033
MDG-a_17_n500_m50;0.15;7703.8100;10.0691
MDG-a_17_n500_m50;0.2;7725.2900;10.0013
MDG-a_17_n500_m50;0.25;7677.6000;10.0501
MDG-a_17_n500_m50;0.3;7696.9100;10.0142
MDG-a_17_n500_m50;0.35;7710.9300;10.0882
MDG-a_17_n500_m50;0.4;7697.1100;10.0621
MDG-a_17_n500_m50;0.45;7785.7100;10.2726
MDG-a_17_n500_m50;0.5;7678.0300;10.0112
MDG-a_17_n500_m50;0.55;7672.5700;10.1329
MDG-a_17_n500_m50;0.6;7738.3600;10.0003
MDG-a_17_n500_m50;0.65;7724.0900;10.1379
MDG-a_17_n500_m50;0.7;7731.7900;10.0911
MDG-a_17_n500_m50;0.75;7683.6000;10.0283
MDG-a_17_n500_m50;0.8;7710.4400;10.0481
MDG-a_17_n500_m50;0.85;7756.7400;10.1279
MDG-a_17_n500_m50;0.9;7704.2300;10.1648
MDG-a_17_n500_m50;0.95;7761.7900;10.0890
MDG-a_17_n500_m50;1.0;7697.0300;10.0900
MDG-a_19_n500_m50;0.0;7694.1100;10.0332
MDG-a_19_n500_m50;0.05;7705.0600;10.0192
MDG-a_19_n500_m50;0.1;7733.0700;10.0352
MDG-a_19_n500_m50;0.15;7736.5800;10.0292
MDG-a_19_n500_m50;0.2;7710.3400;10.0850
MDG-a_19_n500_m50;0.25;7684.5600;10.0581
MDG-a_19_n500_m50;0.3;7705.4200;10.0173
MDG-a_19_n500_m50;0.35;7661.9100;10.0861
MDG-a_19_n500_m50;0.4;7666.7700;10.0871
MDG-a_19_n500_m50;0.45;7675.8800;10.0212
MDG-a_19_n500_m50;0.5;7724.2300;10.1250
MDG-a_19_n500_m50;0.55;7655.4200;10.1120
MDG-a_19_n500_m50;0.6;7679.5000;10.1449
MDG-a_19_n500_m50;0.65;7674.8000;10.0870
MDG-a_19_n500_m50;0.7;7686.1900;10.0611
MDG-a_19_n500_m50;0.75;7736.8100;10.0142
MDG-a_19_n500_m50;0.8;7661.6100;10.1169
MDG-a_19_n500_m50;0.85;7686.2400;10.0052
MDG-a_19_n500_m50;0.9;7718.4800;10.0661
MDG-a_19_n500_m50;0.95;7693.4100;10.1030
MDG-a_19_n500_m50;1.0;7653.8300;10.3665
MDG-a_1_100_m10;0.0;360.1500;10.0015
MDG-a_1_100_m10;0.05;360.1500;10.0006
MDG-a_1_100_m10;0.1;360.1500;10.0023
MDG-a_1_100_m10;0.15;360.1500;10.0013
MDG-a_1_100_m10;0.2;360.1500;10.0007
MDG-a_1_100_m10;0.25;360.1500;10.0003
MDG-a_1_100_m10;0.3;360.1500;10.0029
MDG-a_1_100_m10;0.35;360.1500;10.0032
MDG-a_1_100_m10;0.4;360.1500;10.0013
MDG-a_1_100_m10;0.45;360.1500;10.0012
MDG-a_1_100_m10;0.5;360.1500;10.0003
MDG-a_1_100_m10;0.55;360.1500;10.0003
MDG-a_1_100_m10;0.6;360.1500;10.0003
MDG-a_1_100_m10;0.65;360.1500;10.0013
MDG-a_1_100_m10;0.7;360.1500;10.0002
MDG-a_1_100_m10;0.75;360.1500;10.0063
MDG-a_1_100_m10;0.8;360.1500;10.0018
MDG-a_1_100_m10;0.85;360.1500;10.0023
MDG-a_1_100_m10;0.9;360.1500;10.0013
MDG-a_1_100_m10;0.95;360.1500;10.0033
MDG-a_1_100_m10;1.0;360.1500;10.0003
MDG-a_20_100_m10;0.0;349.3100;10.0003
MDG-a_20_100_m10;0.05;349.3100;10.0003
MDG-a_20_100_m10;0.1;349.3100;10.0003
MDG-a_20_100_m10;0.15;349.3100;10.0003
MDG-a_20_100_m10;0.2;349.3100;10.0003
MDG-a_20_100_m10;0.25;349.3100;10.0003
MDG-a_20_100_m10;0.3;349.3100;10.0013
MDG-a_20_100_m10;0.35;349.3100;10.0013
MDG-a_20_100_m10;0.4;349.3100;10.0013
MDG-a_20_100_m10;0.45;349.3100;10.0003
MDG-a_20_100_m10;0.5;349.3100;10.0002
MDG-a_20_100_m10;0.55;349.3100;10.0092
MDG-a_20_100_m10;0.6;349.3100;10.0003
MDG-a_20_100_m10;0.65;349.3100;10.0013
MDG-a_20_100_m10;0.7;349.3100;10.0012
MDG-a_20_100_m10;0.75;349.3100;10.0003
MDG-a_20_100_m10;0.8;349.3100;10.0012
MDG-a_20_100_m10;0.85;349.3100;10.0023
MDG-a_20_100_m10;0.9;349.3100;10.0023
MDG-a_20_100_m10;0.95;349.3100;10.0003
MDG-a_20_100_m10;1.0;349.3100;10.0013
MDG-a_20_n500_m50;0.0;7715.2800;10.0502
MDG-a_20_n500_m50;0.05;7670.5500;10.0192
MDG-a_20_n500_m50;0.1;7678.2400;10.0332
MDG-a_20_n500_m50;0.15;7678.7100;10.0681
MDG-a_20_n500_m50;0.2;7666.2400;10.0272
MDG-a_20_n500_m50;0.25;7651.7700;10.1329
MDG-a_20_n500_m50;0.3;7674.4100;10.0182
MDG-a_20_n500_m50;0.35;7661.4400;10.1020
MDG-a_20_n500_m50;0.4;7703.4800;10.0451
MDG-a_20_n500_m50;0.45;7721.9800;10.1120
MDG-a_20_n500_m50;0.5;7669.7400;10.0939
MDG-a_20_n500_m50;0.55;7640.2700;10.0162
MDG-a_20_n500_m50;0.6;7636.2000;10.3926
MDG-a_20_n500_m50;0.65;7683.5900;10.1309
MDG-a_20_n500_m50;0.7;7658.9800;10.0133
MDG-a_20_n500_m50;0.75;7640.8100;10.0601
MDG-a_20_n500_m50;0.8;7675.0800;10.0332
MDG-a_20_n500_m50;0.85;7690.0000;10.0242
MDG-a_20_n500_m50;0.9;7658.4600;10.0880
MDG-a_20_n500_m50;0.95;7657.0400;10.1598
MDG-a_20_n500_m50;1.0;7659.1100;10.1140
MDG-a_2_n500_m50;0.0;7695.7300;10.0342
MDG-a_2_n500_m50;0.05;7710.4000;10.0292
MDG-a_2_n500_m50;0.1;7686.6200;10.0232
MDG-a_2_n500_m50;0.15;7697.7600;10.0252
MDG-a_2_n500_m50;0.2;7713.4600;10.0122
MDG-a_2_n500_m50;0.25;7702.0200;10.0611
MDG-a_2_n500_m50;0.3;7722.7100;10.0581
MDG-a_2_n500_m50;0.35;7737.1400;10.0632
MDG-a_2_n500_m50;0.4;7700.4300;10.1160
MDG-a_2_n500_m50;0.45;7671.6400;10.1159
MDG-a_2_n500_m50;0.5;7705.0600;10.1240
MDG-a_2_n500_m50;0.55;7732.9800;10.1668
MDG-a_2_n500_m50;0.6;7710.9300;10.1239
MDG-a_2_n500_m50;0.65;7716.4200;10.0242
MDG-a_2_n500_m50;0.7;7695.0600;10.1165
MDG-a_2_n500_m50;0.75;7666.2300;10.0322
MDG-a_2_n500_m50;0.8;7670.8400;10.0481
MDG-a_2_n500_m50;0.85;7659.4400;10.0362
MDG-a_2_n500_m50;0.9;7654.3700;10.1259
MDG-a_2_n500_m50;0.95;7664.7700;10.0472
MDG-a_2_n500_m50;1.0;7662.3100;10.1888
MDG-a_4_100_m10;0.0;353.5100;10.0003
MDG-a_4_100_m10;0.05;355.7200;10.0002
MDG-a_4_100_m10;0.1;355.7200;10.0003
MDG-a_4_100_m10;0.15;355.7200;10.0013
MDG-a_4_100_m10;0.2;355.7200;10.0003
MDG-a_4_100_m10;0.25;355.7200;10.0023
MDG-a_4_100_m10;0.3;355.7200;10.0013
MDG-a_4_100_m10;0.35;355.7200;10.0002
MDG-a_4_100_m10;0.4;355.7200;10.0003
MDG-a_4_100_m10;0.45;355.7200;10.0033
MDG-a_4_100_m10;0.5;355.7200;10.0003
MDG-a_4_100_m10;0.55;355.7200;10.0003
MDG-a_4_100_m10;0.6;355.7200;10.0003
MDG-a_4_100_m10;0.65;355.7200;10.0013
MDG-a_4_100_m10;0.7;355.7200;10.0023
MDG-a_4_100_m10;0.75;355.7200;10.0003
MDG-a_4_100_m10;0.8;355.7200;10.0003
MDG-a_4_100_m10;0.85;355.7200;10.0013
MDG-a_4_100_m10;0.9;355.7200;10.0013
MDG-a_4_100_m10;0.95;355.7200;10.0023
MDG-a_4_100_m10;1.0;355.7200;10.0003
MDG-a_5_n500_m50;0.0;7699.0500;10.0142
MDG-a_5_n500_m50;0.05;7717.1300;10.0352
MDG-a_5_n500_m50;0.1;7687.8500;10.0790
MDG-a_5_n500_m50;0.15;7736.3700;10.0331
MDG-a_5_n500_m50;0.2;7657.3000;10.0192
MDG-a_5_n500_m50;0.25;7660.9000;10.0690
MDG-a_5_n500_m50;0.3;7653.2900;10.0920
MDG-a_5_n500_m50;0.35;7664.7800;10.0362
MDG-a_5_n500_m50;0.4;7672.4800;10.1484
MDG-a_5_n500_m50;0.45;7629.8000;10.1688
MDG-a_5_n500_m50;0.5;7750.4000;10.1708
MDG-a_5_n500_m50;0.55;7661.4200;10.0731
MDG-a_5_n500_m50;0.6;7688.5400;10.1419
MDG-a_5_n500_m50;0.65;7682.6000;10.0881
MDG-a_5_n500_m50;0.7;7664.5600;10.0093
MDG-a_5_n500_m50;0.75;7667.0400;10.1728
