archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.0;354.9600;1.0003
MDG-a_10_100_m10;0.05;355.5000;1.0003
MDG-a_10_100_m10;0.1;355.5000;1.0003
MDG-a_10_100_m10;0.15;355.5000;1.0004
MDG-a_10_100_m10;0.2;355.5000;1.0003
MDG-a_10_100_m10;0.25;355.5000;1.0013
MDG-a_10_100_m10;0.3;355.5000;1.0004
MDG-a_10_100_m10;0.35;355.5000;1.0003
MDG-a_10_100_m10;0.4;355.5000;1.0003
MDG-a_10_100_m10;0.45;355.5000;1.0024
MDG-a_10_100_m10;0.5;355.5000;1.0023
MDG-a_10_100_m10;0.55;355.5000;1.0004
MDG-a_10_100_m10;0.6;355.5000;1.0014
MDG-a_10_100_m10;0.65;355.5000;1.0033
MDG-a_10_100_m10;0.7;355.5000;1.0003
MDG-a_10_100_m10;0.75;355.5000;1.0014
MDG-a_10_100_m10;0.8;355.5000;1.0023
MDG-a_10_100_m10;0.85;355.5000;1.0013
MDG-a_10_100_m10;0.9;355.5000;1.0024
MDG-a_10_100_m10;0.95;355.5000;1.0023
MDG-a_10_100_m10;1.0;355.5000;1.0003
MDG-a_12_100_m10;0.0;354.2500;1.0003
MDG-a_12_100_m10;0.05;354.2500;1.0013
MDG-a_12_100_m10;0.1;354.2500;1.0004
MDG-a_12_100_m10;0.15;354.2500;1.0003
MDG-a_12_100_m10;0.2;354.2500;1.0013
MDG-a_12_100_m10;0.25;354.2500;1.0023
MDG-a_12_100_m10;0.3;354.2500;1.0003
MDG-a_12_100_m10;0.35;354.2500;1.0013
MDG-a_12_100_m10;0.4;354.2500;1.0004
MDG-a_12_100_m10;0.45;354.2500;1.0004
MDG-a_12_100_m10;0.5;354.2500;1.0008
MDG-a_12_100_m10;0.55;354.2500;1.0003
MDG-a_12_100_m10;0.6;354.2500;1.0003
MDG-a_12_100_m10;0.65;354.2500;1.0013
MDG-a_12_100_m10;0.7;354.2500;1.0014
MDG-a_12_100_m10;0.75;354.2500;1.0003
MDG-a_12_100_m10;0.8;354.2500;1.0003
MDG-a_12_100_m10;0.85;354.2500;1.0023
MDG-a_12_100_m10;0.9;354.2500;1.0003
MDG-a_12_100_m10;0.95;354.2500;1.0003
MDG-a_12_100_m10;1.0;354.2500;1.0023
MDG-a_13_n500_m50;0.0;7684.9400;1.0133
MDG-a_13_n500_m50;0.05;7683.3700;1.0302
MDG-a_13_n500_m50;0.1;7713.2000;1.0383
MDG-a_13_n500_m50;0.15;7692.5600;1.0731
MDG-a_13_n500_m50;0.2;7696.3400;1.1100
MDG-a_13_n500_m50;0.25;7702.1300;1.0592
MDG-a_13_n500_m50;0.3;7693.9300;1.0991
MDG-a_13_n500_m50;0.35;7683.5500;1.0332
MDG-a_13_n500_m50;0.4;7665.1500;1.1096
MDG-a_13_n500_m50;0.45;7656.2500;1.1470
MDG-a_13_n500_m50;0.5;7738.5400;1.0332
MDG-a_13_n500_m50;0.55;7660.0300;1.0751
MDG-a_13_n500_m50;0.6;7642.7100;1.2078
MDG-a_13_n500_m50;0.65;7644.7200;1.2995
MDG-a_13_n500_m50;0.7;7647.9700;1.4561
MDG-a_13_n500_m50;0.75;7653.9900;1.1400
MDG-a_13_n500_m50;0.8;7664.6500;1.0223
MDG-a_13_n500_m50;0.85;7697.0600;1.1529
MDG-a_13_n500_m50;0.9;7631.3900;1.1100
MDG-a_13_n500_m50;0.95;7658.9600;1.2796
MDG-a_13_n500_m50;1.0;7642.3800;1.0242
MDG-a_14_100_m10;0.0;354.1700;1.0003
MDG-a_14_100_m10;0.05;356.0600;1.0003
MDG-a_14_100_m10;0.1;356.0600;1.0003
MDG-a_14_100_m10;0.15;356.0600;1.0003
MDG-a_14_100_m10;0.2;356.0600;1.0003
MDG-a_14_100_m10;0.25;356.0600;1.0003
MDG-a_14_100_m10;0.3;356.0600;1.0009
MDG-a_14_100_m10;0.35;356.0600;1.0003
MDG-a_14_100_m10;0.4;356.0600;1.0003
MDG-a_14_100_m10;0.45;356.0600;1.0023
MDG-a_14_100_m10;0.5;356.0600;1.0003
MDG-a_14_100_m10;0.55;356.0600;1.0014
MDG-a_14_100_m10;0.6;356.0600;1.0023
MDG-a_14_100_m10;0.65;356.0600;1.0014
MDG-a_14_100_m10;0.7;356.0600;1.0033
MDG-a_14_100_m10;0.75;356.0600;1.0024
MDG-a_14_100_m10;0.8;356.0600;1.0003
MDG-a_14_100_m10;0.85;356.0600;1.0004
MDG-a_14_100_m10;0.9;356.0600;1.0003
MDG-a_14_100_m10;0.95;356.0600;1.0003
MDG-a_14_100_m10;1.0;356.0600;1.0003
MDG-a_16_n500_m50;0.0;7712.6000;1.0333
MDG-a_16_n500_m50;0.05;7706.1100;1.0043
MDG-a_16_n500_m50;0.1;7669.3800;1.0003
MDG-a_16_n500_m50;0.15;7687.5000;1.0143
MDG-a_16_n500_m50;0.2;7724.3300;1.0552
MDG-a_16_n500_m50;0.25;7632.9400;1.0003
MDG-a_16_n500_m50;0.3;7626.1900;1.1151
MDG-a_16_n500_m50;0.35;7660.6200;1.0143
MDG-a_16_n500_m50;0.4;7679.9400;1.1135
MDG-a_16_n500_m50;0.45;7651.9000;1.0671
MDG-a_16_n500_m50;0.5;7691.4400;1.1729
MDG-a_16_n500_m50;0.55;7701.6100;1.2636
MDG-a_16_n500_m50;0.6;7669.7600;1.1270
MDG-a_16_n500_m50;0.65;7674.2000;1.0881
MDG-a_16_n500_m50;0.7;7644.4700;1.1310
MDG-a_16_n500_m50;0.75;7609.9000;1.0362
MDG-a_16_n500_m50;0.8;7633.6300;1.1858
MDG-a_16_n500_m50;0.85;7776.7900;1.0323
MDG-a_16_n500_m50;0.9;7695.0600;1.1060
MDG-a_16_n500_m50;0.95;7644.1300;1.1559
MDG-a_16_n500_m50;1.0;7726.4700;1.1809
MDG-a_17_n500_m50;0.0;7677.1800;1.0013
MDG-a_17_n500_m50;0.05;7659.4200;1.0901
MDG-a_17_n500_m50;0.1;7683.1000;1.0532
MDG-a_17_n500_m50;0.15;7695.9100;1.0053
MDG-a_17_n500_m50;0.2;7643.9300;1.0372
MDG-a_17_n500_m50;0.25;7653.5700;1.2313
MDG-a_17_n500_m50;0.3;7612.7800;1.0412
MDG-a_17_n500_m50;0.35;7660.0000;1.1819
MDG-a_17_n500_m50;0.4;7646.8200;1.0651
MDG-a_17_n500_m50;0.45;7640.4500;1.1121
MDG-a_17_n500_m50;0.5;7656.4600;1.1928
MDG-a_17_n500_m50;0.55;7632.4300;1.0253
MDG-a_17_n500_m50;0.6;7671.3200;1.1449
MDG-a_17_n500_m50;0.65;7659.3400;1.1489
MDG-a_17_n500_m50;0.7;7647.2000;1.0702
MDG-a_17_n500_m50;0.75;7599.2300;1.1838
MDG-a_17_n500_m50;0.8;7644.8700;1.0472
MDG-a_17_n500_m50;0.85;7569.7300;1.0901
MDG-a_17_n500_m50;0.9;7643.0600;1.0313
MDG-a_17_n500_m50;0.95;7613.4400;1.1709
MDG-a_17_n500_m50;1.0;7626.6600;1.0751
MDG-a_19_n500_m50;0.0;7659.9200;1.0003
MDG-a_19_n500_m50;0.05;7696.7800;1.0063
MDG-a_19_n500_m50;0.1;7639.1700;1.0163
MDG-a_19_n500_m50;0.15;7651.9800;1.0179
MDG-a_19_n500_m50;0.2;7622.5100;1.0272
MDG-a_19_n500_m50;0.25;7664.9600;1.0771
MDG-a_19_n500_m50;0.3;7637.4800;1.0662
MDG-a_19_n500_m50;0.35;7610.8200;1.0502
MDG-a_19_n500_m50;0.4;7631.4400;1.0332
MDG-a_19_n500_m50;0.45;7628.8900;1.1011
MDG-a_19_n500_m50;0.5;7634.8900;1.0413
MDG-a_19_n500_m50;0.55;7613.7200;1.1101
MDG-a_19_n500_m50;0.6;7563.4300;1.1469
MDG-a_19_n500_m50;0.65;7694.2700;1.1230
MDG-a_19_n500_m50;0.7;7672.2400;1.0592
MDG-a_19_n500_m50;0.75;7614.2600;1.0333
MDG-a_19_n500_m50;0.8;7646.8000;1.1958
MDG-a_19_n500_m50;0.85;7642.1300;1.2118
MDG-a_19_n500_m50;0.9;7578.1700;1.0612
MDG-a_19_n500_m50;0.95;7686.4100;1.1629
MDG-a_19_n500_m50;1.0;7650.7500;1.1818
MDG-a_1_100_m10;0.0;360.1500;1.0003
MDG-a_1_100_m10;0.05;360.1500;1.0023
MDG-a_1_100_m10;0.1;360.1500;1.0004
MDG-a_1_100_m10;0.15;360.1500;1.0013
MDG-a_1_100_m10;0.2;360.1500;1.0003
MDG-a_1_100_m10;0.25;360.1500;1.0009
MDG-a_1_100_m10;0.3;360.1500;1.0013
MDG-a_1_100_m10;0.35;360.1500;1.0003
MDG-a_1_100_m10;0.4;360.1500;1.0003
MDG-a_1_100_m10;0.45;360.1500;1.0013
MDG-a_1_100_m10;0.5;360.1500;1.0003
MDG-a_1_100_m10;0.55;360.1500;1.0023
MDG-a_1_100_m10;0.6;360.1500;1.0003
MDG-a_1_100_m10;0.65;360.1500;1.0013
MDG-a_1_100_m10;0.7;360.1500;1.0013
MDG-a_1_100_m10;0.75;360.1500;1.0014
MDG-a_1_100_m10;0.8;360.1500;1.0003
MDG-a_1_100_m10;0.85;360.1500;1.0003
MDG-a_1_100_m10;0.9;360.1500;1.0013
MDG-a_1_100_m10;0.95;360.1500;1.0004
MDG-a_1_100_m10;1.0;360.1500;1.0033
MDG-a_20_100_m10;0.0;349.3100;1.0003
MDG-a_20_100_m10;0.05;349.3100;1.0003
MDG-a_20_100_m10;0.1;349.3100;1.0003
MDG-a_20_100_m10;0.15;349.3100;1.0003
MDG-a_20_100_m10;0.2;349.3100;1.0013
MDG-a_20_100_m10;0.25;349.3100;1.0013
MDG-a_20_100_m10;0.3;349.3100;1.0003
MDG-a_20_100_m10;0.35;349.3100;1.0003
MDG-a_20_100_m10;0.4;349.3100;1.0013
MDG-a_20_100_m10;0.45;348.6800;1.0033
MDG-a_20_100_m10;0.5;348.6800;1.0023
MDG-a_20_100_m10;0.55;349.3100;1.0024
MDG-a_20_100_m10;0.6;348.6800;1.0003
MDG-a_20_100_m10;0.65;349.3100;1.0043
MDG-a_20_100_m10;0.7;348.6800;1.0003
MDG-a_20_100_m10;0.75;349.3100;1.0004
MDG-a_20_100_m10;0.8;349.3100;1.0013
MDG-a_20_100_m10;0.85;349.3100;1.0033
MDG-a_20_100_m10;0.9;349.3100;1.0024
MDG-a_20_100_m10;0.95;349.3100;1.0013
MDG-a_20_100_m10;1.0;349.3100;1.0013
MDG-a_20_n500_m50;0.0;7669.3600;1.0662
MDG-a_20_n500_m50;0.05;7633.1600;1.0382
MDG-a_20_n500_m50;0.1;7621.6500;1.0233
MDG-a_20_n500_m50;0.15;7648.8800;1.0079
MDG-a_20_n500_m50;0.2;7689.5000;1.0631
MDG-a_20_n500_m50;0.25;7639.0900;1.0143
MDG-a_20_n500_m50;0.3;7656.0900;1.1669
MDG-a_20_n500_m50;0.35;7614.1200;1.0702
MDG-a_20_n500_m50;0.4;7637.9700;1.1400
