archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.1;355.5000000000001;6.083558797836304
MDG-a_12_100_m10;0.1;354.2500000000001;6.506222248077393
MDG-a_13_n500_m50;0.1;7691.58;10.43968391418457
MDG-a_14_100_m10;0.1;356.06000000000006;6.133879661560059
MDG-a_16_n500_m50;0.1;7717.48;10.467274188995361
MDG-a_17_n500_m50;0.1;7675.72;10.489678859710693
MDG-a_19_n500_m50;0.1;7678.28;10.734360456466675
MDG-a_1_100_m10;0.1;360.1500000000001;6.117460012435913
MDG-a_20_100_m10;0.1;349.31000000000006;6.086867809295654
MDG-a_20_n500_m50;0.1;7657.960000000004;10.714963674545288
MDG-a_2_n500_m50;0.1;7680.15;10.347147941589355
MDG-a_4_100_m10;0.1;355.72000000000014;6.123349189758301
MDG-a_5_n500_m50;0.1;7745.9;11.274357795715332
MDG-a_6_n500_m50;0.1;7750.890000000001;11.458017349243164
MDG-a_9_n500_m50;0.1;7729.11;10.419478416442871
