archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.1;355.5000000000001;31.78758192062378
MDG-a_12_100_m10;0.1;354.2500000000001;31.586829662322998
MDG-a_13_n500_m50;0.1;7759.96;61.12818455696106
MDG-a_14_100_m10;0.1;356.0600000000001;32.23041129112244
MDG-a_16_n500_m50;0.1;7715.47;61.33647274971008
MDG-a_17_n500_m50;0.1;7776.53;61.42078614234924
MDG-a_19_n500_m50;0.1;7741.960000000002;61.065181493759155
MDG-a_1_100_m10;0.1;360.15000000000015;31.50505805015564
MDG-a_20_100_m10;0.1;349.3100000000002;31.97273302078247
MDG-a_20_n500_m50;0.1;7680.75;61.46419882774353
MDG-a_2_n500_m50;0.1;7728.410000000002;58.616170167922974
MDG-a_4_100_m10;0.1;355.72000000000014;31.909523248672485
MDG-a_5_n500_m50;0.1;7692.960000000002;60.87990164756775
MDG-a_6_n500_m50;0.1;7708.04;61.15110230445862
MDG-a_9_n500_m50;0.1;7737.09;61.31200575828552
