archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.1;355.50000000000006;3.476609945297241
MDG-a_12_100_m10;0.1;354.2500000000001;3.4978432655334473
MDG-a_13_n500_m50;0.1;7671.02;5.940709590911865
MDG-a_14_100_m10;0.1;356.06000000000006;3.660968780517578
MDG-a_16_n500_m50;0.1;7693.65;5.793782949447632
MDG-a_17_n500_m50;0.1;7647.24;5.855536699295044
MDG-a_19_n500_m50;0.1;7611.78;5.284190893173218
MDG-a_1_100_m10;0.1;360.1500000000001;3.67673659324646
MDG-a_20_100_m10;0.1;349.31000000000006;3.9618802070617676
MDG-a_20_n500_m50;0.1;7635.64;5.882614612579346
MDG-a_2_n500_m50;0.1;7659.31;5.573503494262695
MDG-a_4_100_m10;0.1;355.7200000000001;3.669041872024536
MDG-a_5_n500_m50;0.1;7706.06;6.163568735122681
MDG-a_6_n500_m50;0.1;7662.970000000001;5.205731153488159
MDG-a_9_n500_m50;0.1;7684.21;6.198794603347778
