archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.0;354.9600;5.0006
MDG-a_10_100_m10;0.05;355.5000;5.0006
MDG-a_10_100_m10;0.1;355.5000;5.0002
MDG-a_10_100_m10;0.15;355.5000;5.0016
MDG-a_10_100_m10;0.2;355.5000;5.0007
MDG-a_10_100_m10;0.25;355.5000;5.0006
MDG-a_10_100_m10;0.3;355.5000;5.0008
MDG-a_10_100_m10;0.35;355.5000;5.0007
MDG-a_10_100_m10;0.4;355.5000;5.0006
MDG-a_10_100_m10;0.45;355.5000;5.0016
MDG-a_10_100_m10;0.5;355.5000;5.0017
MDG-a_10_100_m10;0.55;355.5000;5.0006
MDG-a_10_100_m10;0.6;355.5000;5.0017
MDG-a_10_100_m10;0.65;355.5000;5.0006
MDG-a_10_100_m10;0.7;355.5000;5.0012
MDG-a_10_100_m10;0.75;355.5000;5.0017
MDG-a_10_100_m10;0.8;355.5000;5.0016
MDG-a_10_100_m10;0.85;355.5000;5.0026
MDG-a_10_100_m10;0.9;355.5000;5.0022
MDG-a_10_100_m10;0.95;355.5000;5.0026
MDG-a_10_100_m10;1.0;355.5000;5.0006
MDG-a_12_100_m10;0.0;354.2500;5.0016
MDG-a_12_100_m10;0.05;354.2500;5.0007
MDG-a_12_100_m10;0.1;354.2500;5.0016
MDG-a_12_100_m10;0.15;354.2500;5.0007
MDG-a_12_100_m10;0.2;354.2500;5.0006
MDG-a_12_100_m10;0.25;354.2500;5.0027
MDG-a_12_100_m10;0.3;354.2500;5.0001
MDG-a_12_100_m10;0.35;354.2500;5.0016
MDG-a_12_100_m10;0.4;354.2500;5.0017
MDG-a_12_100_m10;0.45;354.2500;5.0016
MDG-a_12_100_m10;0.5;354.2500;5.0001
MDG-a_12_100_m10;0.55;354.2500;5.0027
MDG-a_12_100_m10;0.6;354.2500;5.0023
MDG-a_12_100_m10;0.65;354.2500;5.0026
MDG-a_12_100_m10;0.7;354.2500;5.0007
MDG-a_12_100_m10;0.75;354.2500;5.0007
MDG-a_12_100_m10;0.8;354.2500;5.0036
MDG-a_12_100_m10;0.85;354.2500;5.0017
MDG-a_12_100_m10;0.9;354.2500;5.0007
MDG-a_12_100_m10;0.95;354.2500;5.0016
MDG-a_12_100_m10;1.0;354.2500;5.0007
MDG-a_13_n500_m50;0.0;7763.8900;5.0122
MDG-a_13_n500_m50;0.05;7743.0500;5.0036
MDG-a_13_n500_m50;0.1;7746.9800;5.0335
MDG-a_13_n500_m50;0.15;7709.1500;5.0704
MDG-a_13_n500_m50;0.2;7701.6600;5.0550
MDG-a_13_n500_m50;0.25;7766.6700;5.0166
MDG-a_13_n500_m50;0.3;7687.1400;5.0455
MDG-a_13_n500_m50;0.35;7678.6800;5.1083
MDG-a_13_n500_m50;0.4;7696.0600;5.1587
MDG-a_13_n500_m50;0.45;7736.9700;5.0864
MDG-a_13_n500_m50;0.5;7712.2500;5.0046
MDG-a_13_n500_m50;0.55;7692.1600;5.2080
MDG-a_13_n500_m50;0.6;7712.9200;5.1673
MDG-a_13_n500_m50;0.65;7692.8000;5.1652
MDG-a_13_n500_m50;0.7;7759.3200;5.1722
MDG-a_13_n500_m50;0.75;7716.9700;5.1154
MDG-a_13_n500_m50;0.8;7703.6500;5.0974
MDG-a_13_n500_m50;0.85;7692.7100;5.1672
MDG-a_13_n500_m50;0.9;7681.7900;5.1123
MDG-a_13_n500_m50;0.95;7716.2100;5.1403
MDG-a_13_n500_m50;1.0;7699.8400;5.1113
MDG-a_14_100_m10;0.0;354.1700;5.0006
MDG-a_14_100_m10;0.05;356.0600;5.0007
MDG-a_14_100_m10;0.1;356.0600;5.0007
MDG-a_14_100_m10;0.15;356.0600;5.0002
MDG-a_14_100_m10;0.2;356.0600;5.0017
MDG-a_14_100_m10;0.25;356.0600;5.0007
MDG-a_14_100_m10;0.3;356.0600;5.0016
MDG-a_14_100_m10;0.35;356.0600;5.0026
MDG-a_14_100_m10;0.4;356.0600;5.0036
MDG-a_14_100_m10;0.45;356.0600;5.0016
MDG-a_14_100_m10;0.5;356.0600;5.0026
MDG-a_14_100_m10;0.55;356.0600;5.0017
MDG-a_14_100_m10;0.6;356.0600;5.0006
MDG-a_14_100_m10;0.65;356.0600;5.0016
MDG-a_14_100_m10;0.7;356.0600;5.0017
MDG-a_14_100_m10;0.75;356.0600;5.0017
MDG-a_14_100_m10;0.8;356.0600;5.0007
MDG-a_14_100_m10;0.85;356.0600;5.0007
MDG-a_14_100_m10;0.9;356.0600;5.0007
MDG-a_14_100_m10;0.95;356.0600;5.0036
MDG-a_14_100_m10;1.0;356.0600;5.0017
