archivo;alpha;valor;tiempo
MDG-a_17_n500_m50;0.45;7668.2600;1.1290
MDG-a_17_n500_m50;0.5;7675.6300;1.0053
MDG-a_17_n500_m50;0.55;7615.2900;1.1230
MDG-a_17_n500_m50;0.6;7646.9300;1.0402
MDG-a_17_n500_m50;0.65;7615.1100;1.1470
MDG-a_17_n500_m50;0.7;7637.0000;1.0203
MDG-a_17_n500_m50;0.75;7591.6800;1.0258
MDG-a_17_n500_m50;0.8;7657.9300;1.0363
MDG-a_17_n500_m50;0.85;7699.4400;1.1200
MDG-a_17_n500_m50;0.9;7655.7800;1.0761
MDG-a_17_n500_m50;0.95;7606.6900;1.1669
MDG-a_17_n500_m50;1.0;7655.8200;1.0522
MDG-a_19_n500_m50;0.0;7669.9600;1.0222
MDG-a_19_n500_m50;0.05;7680.1900;1.0732
MDG-a_19_n500_m50;0.1;7727.9800;1.0622
MDG-a_19_n500_m50;0.15;7678.6100;1.0522
MDG-a_19_n500_m50;0.2;7637.1400;1.1111
MDG-a_19_n500_m50;0.25;7615.5800;1.0482
MDG-a_19_n500_m50;0.3;7614.0600;1.1549
MDG-a_19_n500_m50;0.35;7584.4300;1.0382
MDG-a_19_n500_m50;0.4;7611.2500;1.0323
MDG-a_19_n500_m50;0.45;7625.7100;1.0312
MDG-a_19_n500_m50;0.5;7580.9800;1.2018
MDG-a_19_n500_m50;0.55;7661.8600;1.2357
MDG-a_19_n500_m50;0.6;7642.0000;1.0662
MDG-a_19_n500_m50;0.65;7623.9200;1.0249
MDG-a_19_n500_m50;0.7;7627.7100;1.2566
MDG-a_19_n500_m50;0.75;7674.6900;1.0492
MDG-a_19_n500_m50;0.8;7649.9400;1.0841
MDG-a_19_n500_m50;0.85;7647.5000;1.0182
MDG-a_19_n500_m50;0.9;7620.3200;1.1270
MDG-a_19_n500_m50;0.95;7679.1600;1.0851
MDG-a_19_n500_m50;1.0;7743.8300;1.2367
MDG-a_1_100_m10;0.0;360.1500;1.0003
MDG-a_1_100_m10;0.05;360.1500;1.0004
MDG-a_1_100_m10;0.1;360.1500;1.0003
MDG-a_1_100_m10;0.15;360.1500;1.0003
MDG-a_1_100_m10;0.2;360.1500;1.0003
MDG-a_1_100_m10;0.25;360.1500;1.0003
MDG-a_1_100_m10;0.3;360.1500;1.0013
MDG-a_1_100_m10;0.35;360.1500;1.0013
MDG-a_1_100_m10;0.4;360.1500;1.0013
MDG-a_1_100_m10;0.45;360.1500;1.0013
MDG-a_1_100_m10;0.5;360.1500;1.0023
MDG-a_1_100_m10;0.55;360.1500;1.0004
